Lon,Lat,RhoLM_in_situ,RhoLM_STP
114.5,32.25,3.2387526642491,3.3420602668312
114.75,32.25,3.2383672547581,3.342513446275
115,32.25,3.2425481341593,3.347516229586
115.25,32.25,3.237779076468,3.3431380000589
115.5,32.25,3.2348501207731,3.3412204892658
115.75,32.25,3.235441132818,3.3435451203006
116,32.25,3.2382797920062,3.3478543306444
116.25,32.25,3.2446103299364,3.3559643860873
116.5,32.25,3.2476213065669,3.3604307526576
116.75,32.25,3.2482119360921,3.3627864471296
117,32.25,3.2485805249229,3.3645054248338
117.25,32.25,3.2521524372414,3.3682328095908
117.5,32.25,3.2575534187327,3.3728546476238
117.75,32.25,3.2470220956156,3.3608008991282
118,32.25,3.2452835375034,3.3581234170842
118.25,32.25,3.240466556755,3.3526320614165
118.5,32.25,3.2436323784667,3.3554046807713
118.75,32.25,3.2436907374973,3.3551475836215
119,32.25,3.2419597264866,3.3528330778199
119.25,32.25,3.2435548389475,3.3546423167033
119.5,32.25,3.2483773925609,3.3598146959552
119.75,32.25,3.2505987981484,3.3628047821512
120,32.25,3.2530124764318,3.3659112757273
120.25,32.25,3.2552384037326,3.3688045440172
120.5,32.25,3.2557698183443,3.3697872971759
120.75,32.25,3.2571101876911,3.3714841786689
121,32.25,3.2638610218224,3.3785408306969
121.25,32.25,3.269646486527,3.3845185576926
121.5,32.25,3.2753847615362,3.3903387775498
107,32.5,3.2534232520275,3.3623423218282
107.25,32.5,3.2789341496452,3.3897743263176
107.5,32.5,3.2645372287849,3.3771015315751
107.75,32.5,3.2589001841722,3.3742865153929
108,32.5,3.2440055610989,3.3623732434679
108.25,32.5,3.2595350432717,3.3813844522752
108.5,32.5,3.2720936617491,3.397328119322
108.75,32.5,3.2939767782528,3.4224327194528
109,32.5,3.2720645662817,3.4015366394911
109.25,32.5,3.2761692735976,3.4074899409809
109.5,32.5,3.2520397131456,3.3800093860586
109.75,32.5,3.25527000113,3.3801270065315
110,32.5,3.2382104419047,3.3613269707288
110.25,32.5,3.2324043930214,3.3533422338239
110.75,32.5,3.2164466819942,3.3325061460748
111.5,32.5,3.2304819552534,3.3373721867297
111.75,32.5,3.2310748224198,3.3365447699993
112,32.5,3.2368298308692,3.3413478547067
112.25,32.5,3.2280188561464,3.3309174397432
112.5,32.5,3.2269852433684,3.3288644184262
112.75,32.5,3.2211154522471,3.3218450574957
113,32.5,3.2197754357753,3.3197230065151
113.25,32.5,3.2129454659242,3.3122275052785
113.5,32.5,3.219071802513,3.3183912304298
113.75,32.5,3.2199335216938,3.319331752561
114,32.5,3.2257753767873,3.3265850184116
114.25,32.5,3.2325969128894,3.3351706908691
114.5,32.5,3.2335068411136,3.3367618465666
114.75,32.5,3.2344204380865,3.3383734352815
115,32.5,3.2379732002964,3.3428609393028
115.25,32.5,3.2350132172396,3.340607664117
115.5,32.5,3.23180368823,3.3380673333655
115.75,32.5,3.2352410333345,3.34296557364
116,32.5,3.239717401838,3.3495504773
116.25,32.5,3.2432226880676,3.3546895171646
116.5,32.5,3.2440207659205,3.3576086379117
116.75,32.5,3.2461441057679,3.361975241955
117,32.5,3.2460466703476,3.3628588714485
117.25,32.5,3.2409398994413,3.3572262719763
117.5,32.5,3.2479912266651,3.3634522963142
117.75,32.5,3.2440995123623,3.3583274907861
118,32.5,3.2430199029409,3.3562324611943
118.25,32.5,3.242352419409,3.3549593356431
118.5,32.5,3.2425665508783,3.3546526425463
118.75,32.5,3.2470883612213,3.3589449306673
119,32.5,3.2443605427891,3.3556518853718
119.25,32.5,3.2415551893255,3.3525375958966
119.5,32.5,3.2459270838945,3.3574779428712
119.75,32.5,3.2506148830057,3.3632652432846
120,32.5,3.2562294481523,3.3699209009056
120.25,32.5,3.2617784428149,3.3764072218375
120.5,32.5,3.2634425918987,3.3785696384093
120.75,32.5,3.2705377728368,3.3861716061759
121,32.5,3.2750304073718,3.3908111072504
121.25,32.5,3.2785965880504,3.3944271528054
121.5,32.5,3.281595908292,3.3973299219554
121.75,32.5,3.2753201353283,3.3913396465958
107,32.75,3.251372607927,3.3623969723553
107.25,32.75,3.2611482725668,3.3731149199341
107.5,32.75,3.2524221562509,3.3662719184344
107.75,32.75,3.2614145380149,3.37866344214
108,32.75,3.2622467519058,3.3827111954099
108.25,32.75,3.2810930054998,3.4056421600687
108.5,32.75,3.2783939109031,3.4058031264798
108.75,32.75,3.2934660345766,3.4238074827747
109,32.75,3.2722469953128,3.4041828483743
109.25,32.75,3.2737601329069,3.4048338709763
109.5,32.75,3.2488613119861,3.3773972443344
109.75,32.75,3.2589451153977,3.3848277717625
110,32.75,3.240945877354,3.3646179208802
110.25,32.75,3.24268697607,3.3649457871482
110.5,32.75,3.2317528081586,3.3502841001364
110.75,32.75,3.2285339751729,3.3467790087407
111,32.75,3.2355292591377,3.3521236346877
111.25,32.75,3.2279773813846,3.3423349721492
111.5,32.75,3.238174846369,3.3507415041428
111.75,32.75,3.2262909037684,3.3314105586645
112,32.75,3.2281902968765,3.332886020923
112.25,32.75,3.2288994963035,3.3323895090269
112.5,32.75,3.2223284048451,3.3246341511333
112.75,32.75,3.2205890742445,3.3218354689392
113,32.75,3.2192450982864,3.3196703913821
113.25,32.75,3.217804946448,3.3177167482671
113.5,32.75,3.2138046733773,3.3133715292121
113.75,32.75,3.2145648919166,3.3141410110873
114,32.75,3.2257343573645,3.3274866495224
114.25,32.75,3.2273819844115,3.3297427594881
114.5,32.75,3.2297148831498,3.3327766982028
114.75,32.75,3.2305842237338,3.334454546831
115,32.75,3.2341731705923,3.3387257692849
115.25,32.75,3.235438140945,3.3409196414755
115.5,32.75,3.2333931726123,3.3394421925384
115.75,32.75,3.235334298648,3.342833106596
116,32.75,3.2397392871624,3.3489381297508
116.25,32.75,3.2410377532028,3.3522445525978
116.5,32.75,3.2440491398125,3.3578016113491
116.75,32.75,3.2454157724377,3.3617654303851
117,32.75,3.2431758851305,3.3600856552244
117.25,32.75,3.2395546973549,3.3555254175516
117.5,32.75,3.2418798775515,3.3570241778703
117.75,32.75,3.2425144163865,3.3568945266602
118,32.75,3.2380883515477,3.3515429948395
118.25,32.75,3.2324156533239,3.3449707889038
118.5,32.75,3.2398394682523,3.3524165044626
118.75,32.75,3.24379016555,3.3561881596455
119,32.75,3.2447602731059,3.3563548136834
119.25,32.75,3.2464878660563,3.3575840488658
119.5,32.75,3.2501819352149,3.3628144472624
119.75,32.75,3.2556766121647,3.3693394891359
120,32.75,3.2623298864019,3.3771904259941
120.25,32.75,3.2704659894882,3.3863535155605
120.5,32.75,3.2767653976501,3.3935348746227
120.75,32.75,3.2807825353719,3.3978810758663
121,32.75,3.2884573948555,3.405629027359
121.25,32.75,3.2884288838105,3.4054878418575
121.5,32.75,3.2887768500565,3.405524882895
121.75,32.75,3.2839133179945,3.4008125326738
107.25,33,3.2856070509402,3.4005867357571
107.5,33,3.2830442918505,3.3998993333062
107.75,33,3.2831692611429,3.4028219810683
108,33,3.265538767042,3.3882750148295
108.25,33,3.2930417675358,3.4202131699436
108.5,33,3.2883778852429,3.4186413984337
108.75,33,3.2758375578779,3.4075300569202
109,33,3.2450226190877,3.3766149105342
109.25,33,3.2430316771744,3.3746827940343
109.5,33,3.2440449743589,3.3752543133646
109.75,33,3.2555075235172,3.3851446199909
110,33,3.257156986438,3.3826207774204
110.25,33,3.2425589822321,3.3651795709942
110.5,33,3.2323162635197,3.3520536593509
110.75,33,3.2198306196475,3.3390081685014
111,33,3.2344209686432,3.3514882457736
111.25,33,3.2384552456239,3.353496148013
111.5,33,3.235208323631,3.3474783461629
111.75,33,3.2271009236992,3.3347664199346
112,33,3.227751350648,3.3340300430773
112.25,33,3.224356229058,3.3279637352704
112.5,33,3.219754940166,3.3224055258231
112.75,33,3.2173229351029,3.3189542953544
113,33,3.2130811668206,3.3138074214561
113.25,33,3.2135269118965,3.3137265706355
113.5,33,3.2142415156038,3.3141637669531
113.75,33,3.2174342039941,3.3179925586148
114,33,3.2223107696117,3.323974378066
114.25,33,3.2246104804556,3.3269228758733
114.5,33,3.2231862863047,3.325390934103
114.75,33,3.2259479269942,3.3287047332782
115,33,3.230328493197,3.3337922705644
115.25,33,3.2309826662407,3.3350622001312
115.5,33,3.2317171664489,3.3367614510222
115.75,33,3.2328231139522,3.339189826168
116,33,3.2372415065863,3.3452498696134
116.25,33,3.2397516066081,3.3493854981603
116.5,33,3.2375928355155,3.3494168207228
116.75,33,3.2355058487857,3.3495841421222
117,33,3.2359021503676,3.3507887806289
117.25,33,3.242408631519,3.3573966888836
117.5,33,3.2382390141642,3.3526158754863
117.75,33,3.2421945425088,3.3563060405678
118,33,3.2388260330298,3.3525130471643
118.25,33,3.2396539057652,3.353046569098
